Name,Interests
Stan L. Bowie,"African Americans, social work education, social work in public housing, welfare reform"
Patricia Bamwine,"Community child health, social program evaluation, social theory, urban sociology and community studies, forensic psychology"
Carmen Foster,"SEL, ACES/trauma, vicarious trauma for social workers and teachers, racial inequity, cross-cultural communication, educational equity, racial and cultural humility"
J. Camille Hall,risk and resilience among Black Americans and multicultural competence 
Andrea Joseph,"Education Systems, social work, race and ethnic relations"
Javonda Williams,"family and child welfare, childhood trauma, multi-systemic interventions to trauma and abuse"
Monique Constance-Huggins,"poverty, racial disparities, social policy, and social capital "
Iris Carlton-Laney,"social welfare history, aging in rural communities "
Carolyn Gentle-Genitty,"Student Bond=Student Success, Truancy, Absenteeism, SALT theory model, Violence"
Lani Valencia Jones,"mental health practice, psychosocial competence among women of color"
Luiz Zayas,Latinx mental health
Tyreasa Washington,"Kinship care among African American families, specifically grandparents caring for grandchildren"
Bonnie Duran,"indigenous wellness, mental health, alcohol and substance abuse epidemiology and intervention, mindfulness"
Michael Spencer,"AAPI issues, community based participatory research, and preservation of indigenous culture"
Charles H. Lea III,"criminal justice, decarceration"
Jane J. Lee,"Immigration and health, HIV/AIDS prevention, racial and ethnic health disparities"
Gino Aisenberg,"Latinx mental health and access to health care, community violence"
Amelia Gavin,"African American women and depressions, racial disparities in birth outcomes, racial discrimination"
David Huh,"Quantitative methods, Subtance Abuse and Suicide Prevention, health disparities research"
Michelle Johnson-Jennings,"Indigenous health and psychology, psychological and behavioral aspects of health care, epidemiology"
E. Roberto Orellana,"Indigenous and Latinx health, substance abuse and HIV prevention among minority populations"
Emiko Tajima,"Child welfare, child maltreatment, domestic violence"
David Takeuchi,"ethnic minority mental health, health disparities, research design and data analysis"
Karina Walters,"AIAN mental health, alcohol and substance abuse, wellness, multicultural social work practice"
Val Kalei Kanuha,"Gender violence against women and children, interesectionality of race/ethnicity, gender and sexual identity"
Fiona Conway,"Substance use disorders; biosocial research, bio-behavioral health, technology-assisted health interventions"
Esther Calzada,"Parenting, early childhood development, academic achievement, Latino families, racial/ethnic disparities"
Yessenia Castro,"Development, evaluation, and dissemination of interventions for health risk behaviors; effects of cultural factors, gender, and race/ethnicity on health behavior; Latino health; psychometrics"
Namkee G. Choi,Geriatric Mental Health; Depression Treatment in Aging Services; Social Policy for older persons (Social Security and Supplemental Security Income); Program evaluation
Rowena Fong,"Adoptions, child welfare, Chinese American children and families, human trafficking, culturally competent practice, translational research and practice"
Dorie Gilbert,"Africentric interventions, global health and mental health disparities, international development and social entrepreneurship"
Mercedes Hernandez,Serious mental illness; mental health disparities; first-episode psychosis; culturally competent evidenced-based treatment for racial and ethnic minorities with serious mental illness and their families
Farya Phillips,Adolescents and young adult cancer survivors; parental cancer; children and healthcare; psychosocial oncology; grief and loss; palliative and end of life care; Inter-professional education for healthcare providers
Diane McDaniel Rhodes,"Family violence, partner violence, violence against women, social inequity, popular culture"
Ruth G. McRoy,"Open adoptions, outcomes for birthmothers, adoptive parents and adopted children, trans-racial adoptions, family preservation, special needs adoptions, post-adoption services, female sexual abuse perpetrators, racial identity, adolescent pregnancy, effectiveness of residential treatment services."
Lailea Noel,Health social work; cancer disparities; patient-provider communication; health care decision making; community-based participatory research; vulnerable populations
Yolanda C. Padilla,"Population studies focusing on racial and ethnic disparities in health and well-being with an emphasis on Mexican American children and families, poverty, immigration, and applications to social welfare policy development. Areas of practice specialization: policy analysis and community practice"
Ruben Parra-Cardona,"Latinx families, parenting"
Michele A. Rountree,"Health disparities, intimate partner violence and heightened risk for HIV/AIDS, evidence-based HIV/AIDS interventions, prevention strategies tailored to women and communities of color"
Carmen R. Valdez,"Community-based participatory research, family interventions, immigrant health, mental health"
Shetal Vohra-Gupta,"Health disparities, social determinants of health, interpersonal violence, health policy, racial equity, critical race theory"
Ahmed Whitt,Neighborhood contextual factors on adolescent mental health and behavioral outcomes
Ijeoma Opara,"HIV/AIDS, STI, and substance use prevention for urban youth, racial and gender specific prevention interventions for Black girls, and community-based participatory research with urban youth"
Yodit Betru,"Trauma, child welfare, and families"
Valire Copeland,"African American women, health and mental health disparities, social determinants of health, integrated behavioral health care, social work pratice in healthcare settings"
James Huguley,"School based interventions on students of color, parenting, race and social problems"
Victor Figuereo,"Mental health among LatinX, racialization, intersections of race and ethnicity, health disparities"
John Wallace,"Community based participatory research, adolescent problem behaviors, comprehensive community initiatives, role of faith-based organizations in community revitalization, social entrepreneurship"
June Ying Yee,"Race and racism, Anti-racism and anti-colonialism, Whiteness and white supremacy, Organizational change and evaluation models, Structural intersectionality and multiple positionalities, Immigrant and settlement services"
Lynn Lavallee,"Indigenous resurgence; Research ethics, including Indigenous ethics; Indigenous health and well being; Indigenous research methodologies"
Funke Oba,"Anti-Black Racism, Afrocentric Theory, Decolonizing Praxis; Asset based Youth Engagement; Immigration, Immigrants and Refugees; Child Welfare; Domestic Violence; Scholarship of Teaching and Learning in Helping Professions; North-South Collaborations/Social Work in Africa"
Suzie S. Weng,"Culturally Appropriate Services, Ethnic Specific Services, Informal Support, Community Development, Discrimination and Oppression, Stigma"
Robynn J.A. Cox,"Mass Incarceration, Social Inequality, Social Work Education, Race and Class Inequalities"
Annalisa Enrile,"Human Rights, Anti-militarization, Immigration Policy, Sex Trafficking, Migrant labor"
Karen Lincoln,"stress, aging, and mental health disparities"
Shanea Thomas,"gender and sexuality issues, race and class dynamics, mental health, bereavement and strategic planning"
Philip Baiden,Suicide Prevention Research; Adverse Childhood Experiences (ACEs); Adolescent Substance Use Behaviors; Social Determinants of Health and Mental Health; Barriers to Health Service Utilization; International Social Work Research
Saltanat Childress,"Family wellbeing, child wellbeing, parenting, prevention of family violence in global settings; economic empowerment; immigrant and refugee populations"
Zhen Cong,"Aging, intergenerational relationships, disasters, China, health disparity, mental health, living arrangement, caregiving, social support, vulnerability, resilience, interdisciplinary research"
Jandel Crutchfield,"School social work in traditional and charter schools, cultural competence of school social workers, colorism and social work practice"
Danielle R. Eugene,"Social ecology of disadvantaged ethnic minority youth; positive youth/emerging adulthood development; racial disparities and equity in education (K-12); school climate, school connectedness, and student outcomes; school social work practice"
Vijayan Pillai,"Adolescent social problems , Reproductive health , National and International social policy, Population, Community Planning, Demographic Techniques, Zambia, Social Policy, Reproductive rights, Development"
Eusebius Small,"International Social Work, The Intersection of HIV and Contextual Social Norms, Adolescent Risk Behaviors, Comparative Social Policy"
Debra J. Woody,"Substance Abuse, School Based Social Work Services"
Ling Xu,"Aging, grandparents, ethnicity (Chinese), assistive technology, Intergenerational Support and Healthy Aging, Health Disparity, Health Care Utilization, Acculturative Stress, Social support and Well-being of Older Adults, Asian American Older Adults"
Kelli Rogers,"advancing racial equity in public and higher education; social work practice in schools; intersection among child welfare, juvenile justice, and education; disproportionality and disparities in child welfare and juvenile justice systems; social policy for children and families; culturally responsive practice; and community-based social work"
Sana Malik,"Social determinants of health, international public health, health systems strengthening, health disparities among minority, immigrant, and refugee populations, health education & behavior, culturally and religiously tailored programming, maternal & child health and welfare, program design & evaluation."
Christiana I Awosan,"diversity, inclusion, and social justice "
Juan Rios,"Clinical phenomenological field narratives and self-reflexivity, Chinese philosophy on modern philanthropy, mindfulness intervention with immigrant and first generation children, and cultural intersection among men and masculinity. He recently published several articles on mindfulness, emotion and behavior in Latin and Chinese students."
Cathy Scott,"Aging, alzheimer's disease, caregiver burden, grandparents raising grandchildren "
Junrong Shi,"aging, health disparity, caregiver support, older asian immigrants"
Soleman Abu-Bader,"Mental health, well-being, immigrants, Arab & Muslim Americans"
Robert L. Cosby ,"social isolation and older persons, racism, HIV-AIDs, Spirtuality and health care disparities and inequalities"
JaNeen Cross,"maternal and child health disparities, mental health, and health policy "
Janice Berry Edwards,"clinical social work practice, social work education "
Ruby M. Gourdine,"child welfare, teenage pregnancy, transracial adoption, females and violence, school social work, and disability content in social work curricula"
Aisha Bonner,"health care disparities for older minority adults, poverty, an aging population’s impact on public policy, and technology utilization with aging populations"
Stephen Broyles,"health disparities in minority populations, HIV/AIDS, infectious disease, substance abuse and mental health"
Gloria Cain,"ethnic factors of alcohol and substance misuse among African Americans, efficiency of screening and brief intervention in community and health care settings"
Cynthia Harris,"field education, prenatal care, grief, foster youth, disability "
Altaf Husain,"homelessness and natural and human-caused disasters, as well as with immigrants and refugees"
Meirong Liu,"policy, development studies, poverty analysis, early childhood education"
Kendall Moody,"medical social work, sickle cell disease, biopsychosocial variables, chronic illness"
Cudore Snell,"African American parenthood, fetal alcohol spectrum disorder, adolescent substance abuse"
Rona Carter,"Racial and cultural contextual factors that influence pubertal processes
Social-cultural contextual factors and wider social systems that promote or hinder adjustment
Measurement development and evaluation as it relates to race, ethnicity, and gender. She draws upon both secondary data analysis and original data collection. Her research has importance for understanding the relational and social contexts of girls’ development and health outcomes such as how girls negotiate aspects of their interpersonal relationships (family, peers, teachers, and romantic partners) when making their sexual decisions. Guiding her research are the central tenets of social development theory which emphasize that individual development occurs within a social and cultural context, which itself develops, and furthermore, perpetually interacts with the developing individual."
Edward C. Chang,"predictors of psychological and physical adjustment, including optimism and pessimism, perfectionism, and social problem solving. I am also interested in understanding how cultural and racial factors influence the function of these variables on outcome, and in examining stress and coping and diathesis-stress models of adjustment."
Linda M. Chatters,"Religious involvement and well-being, social support networks of adult/elderly African Americans, intergenerational family relations, families and health."
David Córdova,"Drug abuse, HIV/STI, prevention, community-based participatory research, adolescents, health disparities (latinx)"
Fernanda L. Cross,"Latinx mixed-status families, undocumented immigrants, ethnic-racial socialization, discrimination experiences, adolescent mental health and academic outcomes"
Ashley E. Cureton,"explores the educational and mental health needs and outcomes of refugee and migrant children and youth and their families. She seeks to understand how displacement and exploitation impact their overall academic and social development, sense of belonging and cultural identity."
William Elliott III,"Economic, educational, and racial disparities; social policy; mental health; child development"
James M. Ellis,"K-20 education and career pathways of low income and racial minority students, education pipeline intervensions, racism and discrimination in secondary and postsecondary settings, program evaluation, and underrepresented students’ college preparation, access, and success"
