Name,Affiliation,Google Scholar Profile ,ORCID Profile ,Research Gate Profile,Resarch Interests/Focus,Tags,Collaborators,Notes
Stan L. Bowie,University of Tennessee Knoxville,https://scholar.google.com/citations?user=shGTJjMAAAAJ&hl=en&inst=9897619243961157265&oi=ao,n/a,https://www.researchgate.net/profile/Stan-Bowie,"African Americans, social work education, social work in public housing, welfare reform",,,
Patricia Bamwine,University of Tennessee Knoxville,https://scholar.google.com/citations?user=nPoC2AsAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-3727-8191,https://www.researchgate.net/profile/Patricia-Bamwine,"Community child health, social program evaluation, social theory, urban sociology and community studies, forensic psychology",,,
Carmen Foster,University of Tennessee Knoxville,n/a,https://orcid.org/0000-0002-8761-2717,n/a,"SEL, ACES/trauma, vicarious trauma for social workers and teachers, racial inequity, cross-cultural communication, educational equity, racial and cultural humility",,,
J. Camille Hall,University of Tennessee Knoxville,https://scholar.google.com/citations?user=XjkxozYAAAAJ&hl=en&oi=ao,https://orcid.org/0000-0002-9455-6522,https://www.researchgate.net/profile/J-Camille-Hall,risk and resilience among Black Americans and multicultural competence ,,,
Andrea Joseph,University of Tennessee Knoxville,https://scholar.google.com/citations?user=KT7jkGEAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-4024-913X,https://www.researchgate.net/profile/Andrea-Joseph-4/research?ev=brs_act,"Education Systems, social work, race and ethnic relations",,,
Javonda Williams,University of Tennessee Knoxville,n/a,n/a,n/a,"family and child welfare, childhood trauma, multi-systemic interventions to trauma and abuse",,,
Monique Constance-Huggins,Winthrop University,n/a,n/a,https://www.researchgate.net/profile/Monique-Constance-Huggins,"poverty, racial disparities, social policy, and social capital ",,,
Iris Carlton-Laney,University of North Carolina,n/a,n/a,https://www.researchgate.net/profile/Iris-Carlton-Laney,"social welfare history, aging in rural communities ",,,
Carolyn Gentle-Genitty,Indiana University,https://scholar.google.com/citations?hl=en&user=fYswmkkAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-1231-319X,https://www.researchgate.net/profile/Carolyn-Gentle-Genitty,"Student Bond=Student Success, Truancy, Absenteeism, SALT theory model, Violence",,,
Lani Valencia Jones,"University at Albany, SUNY",https://scholar.google.com/citations?hl=en&user=IO89LUAAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Lani-Jones,"mental health practice, psychosocial competence among women of color",,,
Luiz Zayas,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=jYGgP9AAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-3356-7233,n/a,Latinx mental health,,,
Tyreasa Washington,University of North Carolina Greensboro,https://scholar.google.com/citations?hl=en&user=EquKwRQAAAAJ,https://orcid.org/0000-0002-7179-6312,https://www.researchgate.net/profile/Tyreasa-Washington,"Kinship care among African American families, specifically grandparents caring for grandchildren",,,
Bonnie Duran,University of Washington,https://scholar.google.com/citations?hl=en&user=Q0nPRbQAAAAJ,https://orcid.org/0000-0001-5886-5232,https://www.researchgate.net/profile/Bonnie-Duran-2,"indigenous wellness, mental health, alcohol and substance abuse epidemiology and intervention, mindfulness",,,
Michael Spencer,University of Washington,https://scholar.google.com/citations?hl=en&user=gZ8-Wb4AAAAJ,https://orcid.org/0000-0002-6182-5706,https://www.researchgate.net/profile/Michael-Spencer-10,"AAPI issues, community based participatory research, and preservation of indigenous culture",,,
Charles H. Lea III,University of Houston,https://scholar.google.com/citations?hl=en&user=cAn-eW4AAAAJ,https://orcid.org/0000-0002-5157-1052,https://www.researchgate.net/profile/Charles-Lea,"criminal justice, decarceration",,,
Jane J. Lee,University of Washington,https://scholar.google.com/citations?hl=en&user=kmgVd1gAAAAJ,https://orcid.org/0000-0002-7047-9315,https://www.researchgate.net/profile/Jane-Lee-61,"Immigration and health, HIV/AIDS prevention, racial and ethnic health disparities",,,
Gino Aisenberg,University of Washington,n/a,n/a,https://www.researchgate.net/profile/Gino-Aisenberg,"Latinx mental health and access to health care, community violence",,,
Amelia Gavin,University of Washington,n/a,https://orcid.org/0000-0003-2200-2368,https://www.researchgate.net/profile/Amelia-Gavin,"African American women and depressions, racial disparities in birth outcomes, racial discrimination",,,
David Huh,University of Washington,https://scholar.google.com/citations?user=WKRevNQAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-6357-4883,https://www.researchgate.net/profile/David-Huh,"Quantitative methods, Subtance Abuse and Suicide Prevention, health disparities research",,,
Michelle Johnson-Jennings,University of Washington,https://scholar.google.com/citations?user=fgNcAq0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-0723-6588,https://www.researchgate.net/profile/Michelle-Johnson-Jennings,"Indigenous health and psychology, psychological and behavioral aspects of health care, epidemiology",,,
E. Roberto Orellana,University of Washington,https://scholar.google.com/citations?hl=en&user=UQZWdRIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-4444-2321,https://www.researchgate.net/profile/E-Roberto-Orellana,"Indigenous and Latinx health, substance abuse and HIV prevention among minority populations",,,
Emiko Tajima,University of Washington,n/a,https://orcid.org/0000-0003-2041-131X,https://www.researchgate.net/scientific-contributions/Emiko-A-Tajima-39199187,"Child welfare, child maltreatment, domestic violence",,,
David Takeuchi,University of Washington,n/a,https://orcid.org/0000-0003-2315-1373,https://www.researchgate.net/profile/David-Takeuchi-2,"ethnic minority mental health, health disparities, research design and data analysis",,,
Karina Walters,University of Washington,https://scholar.google.com/citations?user=6fj-wakAAAAJ&hl=en&inst=1297495080519272923&oi=ao,n/a,n/a,"AIAN mental health, alcohol and substance abuse, wellness, multicultural social work practice",,,
Val Kalei Kanuha,University of Washington,https://scholar.google.com/citations?hl=en&user=E0cSng0AAAAJ,https://orcid.org/0000-0003-4632-7837,https://www.researchgate.net/profile/Kalei-Kanuha,"Gender violence against women and children, interesectionality of race/ethnicity, gender and sexual identity",,,
Fiona Conway,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=87EMxjMAAAAJ,https://orcid.org/0000-0003-2626-4752,https://www.researchgate.net/profile/Fiona-Conway-2,"Substance use disorders; biosocial research, bio-behavioral health, technology-assisted health interventions",,,
Esther Calzada,University of Texas at Austin,n/a,https://orcid.org/0000-0003-0382-9212,https://www.researchgate.net/profile/Esther-Calzada,"Parenting, early childhood development, academic achievement, Latino families, racial/ethnic disparities",,,
Yessenia Castro,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=58LN-aoAAAAJ,n/a,https://www.researchgate.net/scientific-contributions/Yessenia-Castro-16239758,"Development, evaluation, and dissemination of interventions for health risk behaviors; effects of cultural factors, gender, and race/ethnicity on health behavior; Latino health; psychometrics",,,
Namkee G. Choi,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=fd1nS5AAAAAJ,n/a,https://www.researchgate.net/profile/Namkee-Choi,Geriatric Mental Health; Depression Treatment in Aging Services; Social Policy for older persons (Social Security and Supplemental Security Income); Program evaluation,,,
Rowena Fong,University of Texas at Austin,n/a,n/a,n/a,"Adoptions, child welfare, Chinese American children and families, human trafficking, culturally competent practice, translational research and practice",,,
Dorie Gilbert,University of Texas at Austin,n/a,n/a,https://www.researchgate.net/profile/Dorie-Gilbert,"Africentric interventions, global health and mental health disparities, international development and social entrepreneurship",,,
Mercedes Hernandez,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=cyh3bsEAAAAJ,https://orcid.org/0000-0001-8480-8725,n/a,Serious mental illness; mental health disparities; first-episode psychosis; culturally competent evidenced-based treatment for racial and ethnic minorities with serious mental illness and their families,,,
